"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
Consultation,https://elixir-slovenia.org/,,"ELIXIR Slovenia",,,"Expertise includes


	DNA microarray
	RNA‐Seq
	qPCR processing pipelines
	array‐CGH, SNP
	NGS data analysis",,,
Consulting/Expertise,https://www.dtls.nl/elixir-nl/,,"ELIXIR Netherlands",,,"Expertise on very diverse subjects of data processing, analysis and curation as well as connections to existing infrastructure RI's like EUDAT. This expertise can be made available to research projects and organisations.  ","Rob Hooft",,
CONTIGuator,http://contiguator.sourceforge.net/,,"ELIXIR Italy","Genes and genomes",,"Aligns contigs from a draft genome to a closely related genome, and resolves their relative orientation based on this alignment.","Marco Fondi",https://bio.tools/contiguator,
COPASI,https://copasi.org/,,"ELIXIR Germany","Chemical biology, Enzymes, interactions and pathways",,"OPASI is a software application for simulation and analysis of biochemical networks and their dynamics.",,https://bio.tools/copasi,
COPO,https://copo-project.org/,,"ELIXIR UK","Genes and genomes, Proteins and proteomes",,"COPO is a portal for scientists to describe, store and retrieve data more easily, using community standards and public repositories that enable the open sharing of results. COPO can link your outputs to your ORCiD profile.","Anthony Etuk",https://bio.tools/COPO,https://fairsharing.org/biodbcore-001247/
CorGAT,http://corgat.cloud.ba.infn.it/galaxy,,"ELIXIR Italy","Genes and genomes",,"Galaxy server allowing to align complete assemblies of SARS-CoV-2 genomes with the reference genomic sequence to obtain a list of polymorphic positions and to annotate genetic variants.","Matteo Chiara",https://bio.tools/corgat,
CorkOakDB,http://corkoakdb.org/,,"ELIXIR Portugal","Genes and genomes",,"CorkOakDB aims to integrate the knowledge generated from fundamental and applied studies about Quercus suber, with a focus on genetics.","Daniel Sobral",https://bio.tools/corkoakdb,https://doi.org/10.25504/FAIRsharing.94459d
COVd,https://virus.img.cas.cz/,,"ELIXIR Czech Republic",,,"Czech COVID-19 genomics portal",,https://bio.tools/covd,
cpPredictor,http://cppredictor.elixir-czech.cz,,"ELIXIR Czech Republic","Genes and genomes",,"Template-based predictor of RNA secondary structure. It takes a template RNA secondary structure(s) and a query RNA sequence(s) and generates secondary structure of the query sequence(s) using the provided structure(s) as a template(s). Biological reliability of the generated structures is evaluated in form of z-scores.",,https://bio.tools/cppredictor,
CRISPRCas++,https://crisprcas.i2bc.paris-saclay.fr/,,"ELIXIR France","Genes and genomes",,"CRISPRCas++ is a new website holding a program called CRISPRCasFinder to detect CRISPR arrays and cas genes in the genome of prokaryotes. CRISPRCasMeta is adapted to the analysis of large metagenomic data. The programs are available online or can be downloaded for local usage. A database called CRISPRCasdb, the successor of CRISPRdb, is accessible on the CRISPRCas++ website. It can be browsed and queried in search for repeat and spacer sequences. ","Christine POURCEL",,
"CSC Chipster",http://chipster.csc.fi/,,"ELIXIR Finland","Genes and genomes",,"Chipster is a user-friendly analysis software for high-throughput data. It contains hundreds of analysis tools for next generation sequencing (NGS), microarray, proteomics and sequence data. ","Eija Korpelainen; ELIXIR EGI Competence Center lead: Kimmo Mattila",https://bio.tools/chipster,
"CSC Cloud",https://research.csc.fi/cloud-computing,,"ELIXIR Finland",,,"The CSC Cloud service is targeted for High Performance Computing (HPC), allowing customers to run virtual machines with exclusive access to up to 16 cores. This service includes cPouta and ePouta. ","Kalle Happonen",,
Curare,https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/bigi/Services_folder/…,,"ELIXIR Germany","Genes and genomes",,"Curare is a free analysis pipeline for reproducible, high-throughput, bacterial RNA-Seq experiments. Define standardized pipelines customised for your specific workflow, without installing all the tools by yourself.",,,
D-cellerate,https://github.com/BioData-PT/D-cellerate,,,"Genes and genomes",,"a web application that provides a graphical interface for Seurat version 2, a popular single-cell RNA-seq (scRNA-seq) package for R. It provides an easy-to-use UI and the ability to export results as an HTML file.","Ricardo Leite, Henrique Costa",https://bio.tools/d-cellerate,
DANTE,http://repeatexplorer.org/?page_id=832,,"ELIXIR Czech Republic",,,"Domain based ANnotation of Transposable Elements (DANTE) uses database of Viridiplantae (Metazoa in progress) protein domains derived from transposable elements (Neumann at al 2019) Domains searching is accomplished engaging LASTAL alignment tool. Domains are subsequently annotated and classified using phylogenetic approach.","Petr Novák",https://bio.tools/dante_annotation,
"Data Archiving",https://elixir-luxembourg.org/services/catalog/data-hosting/,,"ELIXIR Luxembourg",,,"ELIXIR Luxembourg provides integrated storage and archiving for curated Translational Medicine data. Data is stored on tranSMART servers or other suitable servers.",,,
"Data Clinic RDM",https://www.denbi.de/,,,,,"Either as a cooperation or consultancy service.

contact [at] denbi.de","Christoph Steinbeck",,
"Data Stewardship Wizard",https://ds-wizard.org/,,"ELIXIR Czech Republic",,"Recommended Interoperability Resources","The Data Stewardship Wizard is an international project to help serious researchers and data stewards with building smart Data Management Plans for FAIR Open Science.","Marek Suchánek",https://bio.tools/Data_Stewardship_Wizard,
DataHub,https://datahub.elixir-belgium.org/,,"ELIXIR Belgium",,,"Research data management platform to enable researchers to produce FAIR data by design  ","Frederik Coppens",,
Decryptor,http://decryptor.imtm.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures, Proteins and proteomes",,"System for identification of alterations using protein mass spectrometry.","Marián Hajdúch / Jana Vrbková",https://bio.tools/decryptor,
"DEEP data portal",https://deep.dkfz.de/#/home,,"ELIXIR Germany",,,"The German epigenome programme ‘DEEP’ is an interdisciplinary research network. Its goal is to generate data for biomedical interpretation of healthy and diseased cells. With this, DEEP will contribute to discover new functional epigenetic links useful for clinical diagnosis, therapy and health risk prevention. ",,,
DeepMito,https://busca.biocomp.unibo.it/deepmito/,,"ELIXIR Italy","Genes and genomes",,"Prediction of protein sub-mitochondrial localization.","Castrense Savojardo",https://bio.tools/DeepMito,
DeepSig,https://deepsig.biocomp.unibo.it,,"ELIXIR Italy","Proteins and proteomes",,"Prediction of secretory signal peptides and cleavage sites in proteins.","Castrense Savojardo",https://bio.tools/deepsig,
DELLY,https://github.com/dellytools/delly,,"ELIXIR Germany","Genes and genomes",,"DELLY discovers germline and somatic structural variants in short-read massively parallel sequencing data","Jan Korbel",https://bio.tools/delly2,
DeSeq2,https://bioconductor.org/packages/release/bioc/html/DESeq2.html,,"ELIXIR Germany","Genes and genomes",,"DESeq2 is an R/Bioconductor package for differential expression analysis of high-throughput sequencing assays (incl. RNA-seq, ChIP-Seq, 4C-Seq, ribosome profiling, CLIP, metagenomics, HT-CRISPR screens) based on the Gamma-Poisson distribution. Part of the Human Omics Analysis Toolbox","Wolfgang Huber",https://bio.tools/deseq2,
DEsubs,http://bioconductor.org/packages/release/bioc/html/DEsubs.html,,"ELIXIR Greece",,,"An R-package used to extract disease-perturbed subpathways within a pathway network as recorded by RNA-seq experiments.","Panos Balomenos, Anastasios Bezerianos",https://bio.tools/desubs,
DexSeq,https://bioconductor.org/packages/release/bioc/html/DEXSeq.html,,"ELIXIR Germany","Genes and genomes",,"DEXSeq is an extension of DESeq for the analysis of alternative exon usage. DESeq2 is an R/Bioconductor package for differential expression analysis of high-throughput sequencing assays (incl. RNA-seq, ChIP-Seq, 4C-Seq, ribosome profiling, CLIP, metagenomics, HT-CRISPR screens) based on the Gamma-Poisson distribution. Part of the Human Omics Analysis Toolbox","Wolfgang Huber",https://bio.tools/dexseq,
DGP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC434425/,,"ELIXIR Greece",,,"Database of human genes with their probability of being involved in a
	hereditary disease (emerging service) ","Christos Ouzounis",,
DIAMetAlyzer,https://openms.de/applications/diametalyzer/,,"ELIXIR Germany",,,"OpenMS tool for targeted assay generation in metabolomics.","Oliver Kohlbacher",,
DIANA-LncBase,https://diana.e-ce.uth.gr/lncbasev3,,"ELIXIR Greece",,,"DIANA-LncBase provides an extensive collection of experimentally and on silico predicted miRNA:lncRNA interactions.","Artemis Hatzigeorgiou",https://bio.tools/DIANA-LNCBase,
DIANA-microT,http://diana.imis.athena-innovation.gr/DianaTools/index.php?r=MicroT_CDS/index,,"ELIXIR Greece",,,"DIANA-microT web server is dedicated to miRNA target prediction and functional analysis and is widely used since 2009 from the scientific community. ","Artemis Hatzigeorgiou",https://bio.tools/DIANA-microT,
"DIANA-mirExTra v2.0",http://www.microrna.gr/mirextrav2,,"ELIXIR Greece",,,"DIANA-mirExTra v2.0 performs a combined Differential Expression Analysis (DEA) of mRNAs and microRNAs (miRNAs) to uncover miRNAs and transcription factors (TFs) playing important regulatory roles between two investigated states.","Artemis Hatzigeorgiou",https://bio.tools/DIANA-mirExTra,
"DIANA-miRGen v3.0",http://www.microrna.gr/mirgen,,"ELIXIR Greece",,,"DIANA-miRGen v3.0 provides accurate cell-line-specific miRNA gene transcription start sites (TSSs), coupled with genome-wide maps of transcription factor (TF) binding sites in order to unveil the mechanisms of miRNA transcription regulation.","Artemis Hatzigeorgiou",https://bio.tools/DIANA-miRGen,
"DIANA-miRPath v3.0",http://www.microrna.gr/miRPathv3,,"ELIXIR Greece",,,"DIANA-miRPath v3.0 is an online software suite dedicated to the assessment of miRNA regulatory roles and the identification of controlled pathways","Artemis Hatzigeorgiou",https://bio.tools/DIANA-mirPath,
DIAproteomics,https://openms.de/applications/diaproteomics/,,"ELIXIR Germany",,,"OpenMS workflow for Data Independent Acquisition MS and statistical post-analysis.","Oliver Kohlbacher",https://bio.tools/diaproteomics,
DictyExpress,http://dictyexpress.biolab.si,,"ELIXIR Slovenia",,,"Aan interactive, web-based exploratory data analytics application providing access to over 1,000 Dictyostelium gene expression experiments from Baylor College of Medicine.",,https://bio.tools/dictyexpress,
"Disease Maps Development and Hosting",https://minerva-web.lcsb.uni.lu,,"ELIXIR Luxembourg","Enzymes, interactions and pathways, Genes and genomes, Proteins and proteomes",,"We provide support and guidance in development of Disease Maps (disease-maps.org), computational and visual repositories of knowledge about mechanisms of human diseases. We offer hosting of open access Disease Maps on the MINERVA Platform (minerva-web.lcsb.uni.lu) on our infrastructure under the elixir-luxembourg.org sub-domain, their backup and conservation. The MINERVA Platform ensures online access, interactive exploration, search for known drug targets and visualisation of omics datasets. We provide training in management of the Disease Maps and guidance to their integration into reproducible computational workflows by using the dedicated API of the hosting platform.","Dr. Marek Ostaszewski",,
DisProt,http://www.disprot.org/,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"A manually curated community resource annotating proteins for experimentally determined regions of intrinsic disorder from the literature.","Silvio Tosatto",https://bio.tools/disprot,https://fairsharing.org/FAIRsharing.dt9z89
